Meeting,Meeting Date,Origin,Index Title,Title,Published,Page URL,PDF URL
SAGE 01,2020-01-22,SAGE Minutes,"Precautionary SAGE 1 minutes: Coronavirus (COVID-19) response, 22 January 2020",Precautionary SAGE meeting on Wuhan Coronavirus (WN-CoV)  - 22 January 2020,2020-05-29,https://www.gov.uk/government/publications/precautionary-sage-minutes-coronavirus-covid-19-response-22-january-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888767/S0369_Precautionary_SAGE_meeting_on_Wuhan_Coronavirus__WN-CoV__.pdf
SAGE 02,2020-01-28,SAGE Minutes,"SAGE 2 minutes: Coronavirus (COVID-19) response, 28 January 2020",Second SAGE meeting on Wuhan Coronavirus - 28 January 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-28-january-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888769/S0370_Second_SAGE_meeting_on_Wuhan_Coronavirus_.pdf
SAGE 03,2020-02-03,SAGE Minutes,"SAGE 3 minutes: Coronavirus (COVID-19) response, 3 February 2020",Third SAGE meeting on Wuhan Coronavirus (WN-CoV) - 3 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-3-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888770/S0371_Third_SAGE_meeting_on_Wuhan_Coronavirus__WN-CoV__.pdf
SAGE 03,2020-02-03,Health Protection Agency,"Delaying the international spread of pandemic influenza, 2 May 2006",Delaying the International Spread of Pandemic Influenza - 2 May 2006,2020-06-19,https://www.gov.uk/government/publications/delaying-the-international-spread-of-pandemic-influenza-2-may-2006,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893125/S0003_Delaying_the_International_Spread_of_Pandemic_Influenza.pdf
SAGE 04,2020-02-04,SAGE Minutes,"SAGE 4 minutes: Coronavirus (COVID-19) response, 4 February 2020",Fourth SAGE meeting on Wuhan Coronavirus (WN-CoV) - 4 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-4-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888771/S0372_Fourth_SAGE_meeting_on_Wuhan_Coronavirus__WN-CoV__.pdf
SAGE 04,2020-02-04,PHE,"PHE: Are asymptomatic people with 2019nCoV infectious?, 28 January 2020",Are asymptomatic people with 2019nCoV infectious? - 28 January 2020,2020-06-05,https://www.gov.uk/government/publications/phe-are-asymptomatic-people-with-2019ncov-infectious-28-january-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890001/s0005-are-asymptomatic-people-with-2019ncov-infectious-280120-sage4.pdf
SAGE 04,2020-02-04,SPI-M-O,"SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19), 3 February 2020",SPI-M-O: Consensus statement on 2019 novel coronavirus - 3 February 2020,2020-05-05,https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-2019-novel-coronavirus-covid-19-3-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887353/15-spi-m-o-consensus-statement-03022020.pdf
SAGE 04,2020-02-04,SPI-M-O,"SPI-M-O: Consensus view on the impact of possible interventions to delay the spread of a UK outbreak of 2019-nCov, 3 February 2020",SPI-M-O: Consensus view on the impact of possible interventions to delay the spread of a UK outbreak of 2019-nCov - 3 February 2020,2020-05-22,https://www.gov.uk/government/publications/spi-m-o-consensus-view-on-the-impact-of-possible-interventions-to-delay-the-spread-of-a-uk-outbreak-of-2019-ncov-3-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888388/s0007-spi-m-o-consensus-view-impact-interventions-030220-sage4.pdf
SAGE 05,2020-02-06,SAGE Minutes,"SAGE 5 minutes: Coronavirus (COVID-19) response, 6 February 2020",Fifth SAGE meeting on Wuhan Coronavirus (WN-CoV) - 6 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-6-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888772/S0373_Fifth_SAGE_meeting_on_Wuhan_Coronavirus__WN-CoV__.pdf
SAGE 06,2020-02-11,SAGE Minutes,"SAGE 6 minutes: Coronavirus (COVID-19) response, 11 February 2020",Sixth SAGE meeting on Wuhan Coronavirus (COVID-19)  - 11 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-11-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888774/S0374_Sixth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
